CUST NO.,XCOORD.,YCOORD.,DEMAND,READY TIME,DUE DATE,SERVICE TIME
1,35.00,35.00,0.00,0.00,230.00,0.00
2,41.00,49.00,10.00,161.00,171.00,10.00
3,35.00,17.00,7.00,50.00,60.00,10.00
4,55.00,45.00,13.00,116.00,126.00,10.00
5,55.00,20.00,19.00,149.00,159.00,10.00
6,15.00,30.00,26.00,34.00,44.00,10.00
7,25.00,30.00,3.00,99.00,109.00,10.00
8,20.00,50.00,5.00,81.00,91.00,10.00
9,10.00,43.00,9.00,95.00,105.00,10.00
10,55.00,60.00,16.00,97.00,107.00,10.00
11,30.00,60.00,16.00,124.00,134.00,10.00